rank,country,value
1,Finland,0.393
2,Norway,0.34
3,Denmark,0.408
4,Iceland,0.138
5,Switzerland,0.357
6,Netherlands,0.295
7,Canada,0.291
8,New Zealand,0.389
9,Sweden,0.383
10,Australia,0.302
11,Israel,0.082
12,Austria,0.224
13,Costa Rica,0.101
14,Ireland,0.306
15,Germany,0.28
16,Belgium,0.24
17,Luxembourg,0.321
18,United States,0.133
19,United Kingdom,0.272
20,United Arab Emirates,0.186
21,Czech Republic,0.034
22,Malta,0.142
23,France,0.176
24,Mexico,0.095
25,Chile,0.061
26,Taiwan Province of China,0.078
27,Panama,0.063
28,Brazil,0.088
29,Argentina,0.054
30,Guatemala,0.071
31,Uruguay,0.155
32,Qatar,0.171
33,Saudi Arabia,0.127
34,Singapore,0.457
35,Malaysia,0.059
36,Spain,0.074
37,Colombia,0.039
38,Trinidad & Tobago,0.019
39,Slovakia,0.014
40,El Salvador,0.082
41,Nicaragua,0.128
42,Poland,0.064
43,Bahrain,0.123
44,Uzbekistan,0.259
45,Kuwait,0.106
46,Thailand,0.029
47,Italy,0.028
48,Ecuador,0.12
49,Belize,0.089
50,Lithuania,0.006
51,Slovenia,0.051
52,Romania,0.001
53,Latvia,0.066
54,Japan,0.15
55,Mauritius,0.05
56,Jamaica,0.031
57,South Korea,0.051
58,Northern Cyprus,0.154
59,Russia,0.025
60,Kazakhstan,0.121
61,Cyprus,0.035
62,Bolivia,0.054
63,Estonia,0.174
64,Paraguay,0.074
65,Peru,0.034
66,Kosovo,0.023
67,Moldova,0
68,Turkmenistan,0.037
69,Hungary,0.022
70,Libya,0.148
71,Philippines,0.105
72,Honduras,0.074
73,Belarus,0.154
74,Turkey,0.109
75,Pakistan,0.113
76,"Hong Kong SAR, China",0.291
77,Portugal,0.017
78,Serbia,0.043
79,Greece,0.044
80,Tajikistan,0.136
81,Montenegro,0.081
82,Croatia,0.039
83,Dominican Republic,0.106
84,Algeria,0.135
85,Morocco,0.074
86,China,0.103
87,Azerbaijan,0.176
88,Lebanon,0.034
89,Macedonia,0.052
90,Jordan,0.134
91,Nigeria,0.032
92,Kyrgyzstan,0.035
93,Bosnia and Herzegovina,0
94,Mongolia,0.032
95,Vietnam,0.079
96,Indonesia,0.018
97,Bhutan,0.171
98,Somalia,0.282
99,Cameroon,0.043
100,Bulgaria,0.009
101,Nepal,0.078
102,Venezuela,0.052
103,Gabon,0.052
104,Palestinian Territories,0.076
105,South Africa,0.056
106,Iran,0.129
107,Ivory Coast,0.103
108,Ghana,0.029
109,Senegal,0.082
110,Laos,0.174
111,Tunisia,0.063
112,Albania,0.032
113,Sierra Leone,0.053
114,Congo (Brazzaville),0.077
115,Bangladesh,0.144
116,Sri Lanka,0.05
117,Iraq,0.095
118,Mali,0.056
119,Namibia,0.064
120,Cambodia,0.065
121,Burkina Faso,0.128
122,Egypt,0.107
123,Mozambique,0.158
124,Kenya,0.055
125,Zambia,0.082
126,Mauritania,0.093
127,Ethiopia,0.146
128,Georgia,0.215
129,Armenia,0.028
130,Myanmar,0.178
131,Chad,0.06
132,Congo (Kinshasa),0.052
133,India,0.093
134,Niger,0.099
135,Uganda,0.061
136,Benin,0.067
137,Sudan,0.082
138,Ukraine,0.011
139,Togo,0.101
140,Guinea,0.094
141,Lesotho,0.112
142,Angola,0.061
143,Madagascar,0.049
144,Zimbabwe,0.099
145,Afghanistan,0.036
146,Botswana,0.092
147,Malawi,0.08
148,Haiti,0.104
149,Liberia,0.03
150,Syria,0.144
151,Rwanda,0.444
152,Yemen,0.064
153,Tanzania,0.097
154,South Sudan,0.106
155,Central African Republic,0.038
156,Burundi,0.076
