rank,country,value
1,Finland,1.305
2,Norway,1.456
3,Denmark,1.351
4,Iceland,1.343
5,Switzerland,1.42
6,Netherlands,1.361
7,Canada,1.33
8,New Zealand,1.268
9,Sweden,1.355
10,Australia,1.34
11,Israel,1.244
12,Austria,1.341
13,Costa Rica,1.01
14,Ireland,1.448
15,Germany,1.34
16,Belgium,1.324
17,Luxembourg,1.576
18,United States,1.398
19,United Kingdom,1.301
20,United Arab Emirates,1.467
21,Czech Republic,1.233
22,Malta,1.27
23,France,1.293
24,Mexico,1.038
25,Chile,1.131
26,Taiwan Province of China,1.365
27,Panama,1.112
28,Brazil,0.986
29,Argentina,1.073
30,Guatemala,0.781
31,Uruguay,1.093
32,Qatar,1.649
33,Saudi Arabia,1.379
34,Singapore,1.529
35,Malaysia,1.161
36,Spain,1.251
37,Colombia,0.96
38,Trinidad & Tobago,1.223
39,Slovakia,1.21
40,El Salvador,0.806
41,Nicaragua,0.668
42,Poland,1.176
43,Bahrain,1.338
44,Uzbekistan,0.719
45,Kuwait,1.474
46,Thailand,1.016
47,Italy,1.264
48,Ecuador,0.889
49,Belize,0.807
50,Lithuania,1.197
51,Slovenia,1.219
52,Romania,1.116
53,Latvia,1.148
54,Japan,1.294
55,Mauritius,1.09
56,Jamaica,0.819
57,South Korea,1.266
58,Northern Cyprus,1.229
59,Russia,1.151
60,Kazakhstan,1.143
61,Cyprus,1.229
62,Bolivia,0.751
63,Estonia,1.2
64,Paraguay,0.835
65,Peru,0.934
66,Kosovo,0.855
67,Moldova,0.657
68,Turkmenistan,1.016
69,Hungary,1.171
70,Libya,0.985
71,Philippines,0.775
72,Honduras,0.62
73,Belarus,1.039
74,Turkey,1.148
75,Pakistan,0.652
76,"Hong Kong SAR, China",1.405
77,Portugal,1.188
78,Serbia,0.975
79,Greece,1.154
80,Tajikistan,0.474
81,Montenegro,1.017
82,Croatia,1.115
83,Dominican Republic,0.982
84,Algeria,0.979
85,Morocco,0.779
86,China,0.989
87,Azerbaijan,1.024
88,Lebanon,0.965
89,Macedonia,0.959
90,Jordan,0.822
91,Nigeria,0.689
92,Kyrgyzstan,0.53
93,Bosnia and Herzegovina,0.915
94,Mongolia,0.914
95,Vietnam,0.715
96,Indonesia,0.899
97,Bhutan,0.796
98,Somalia,0
99,Cameroon,0.535
100,Bulgaria,1.054
101,Nepal,0.425
102,Venezuela,0.996
103,Gabon,1.036
104,Palestinian Territories,0.642
105,South Africa,0.94
106,Iran,1.059
107,Ivory Coast,0.541
108,Ghana,0.592
109,Senegal,0.429
110,Laos,0.72
111,Tunisia,0.9
112,Albania,0.916
113,Sierra Leone,0.256
114,Congo (Brazzaville),0.682
115,Bangladesh,0.532
116,Sri Lanka,0.918
117,Iraq,1.01
118,Mali,0.37
119,Namibia,0.874
120,Cambodia,0.549
121,Burkina Faso,0.314
122,Egypt,0.885
123,Mozambique,0.198
124,Kenya,0.493
125,Zambia,0.562
126,Mauritania,0.557
127,Ethiopia,0.308
128,Georgia,0.853
129,Armenia,0.816
130,Myanmar,0.682
131,Chad,0.358
132,Congo (Kinshasa),0.069
133,India,0.721
134,Niger,0.131
135,Uganda,0.322
136,Benin,0.378
137,Sudan,0.605
138,Ukraine,0.793
139,Togo,0.259
140,Guinea,0.344
141,Lesotho,0.472
142,Angola,0.73
143,Madagascar,0.262
144,Zimbabwe,0.357
145,Afghanistan,0.332
146,Botswana,1.017
147,Malawi,0.186
148,Haiti,0.315
149,Liberia,0.076
150,Syria,0.689
151,Rwanda,0.332
152,Yemen,0.442
153,Tanzania,0.455
154,South Sudan,0.337
155,Central African Republic,0.024
156,Burundi,0.091
